,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
30,Kim Johnson,2.87,13.31,0.22,0,11,1,73,11,1.0,5.6,7,1.21,8.44,39,0,3.0,0.0,8,2,11.0,2.0,3,6.0,2.0,6,3.0,12.0,5.0,0.41666666700000005,0,56,New York,0,30,0,3.0,0,Retired Teacher,0.0,0.0,0.0,0.0,0.0,0.0
31,Lex van den Berghe,5.87,13.31,0.44,0,9,10,73,11,0.81,1.64,7,1.25,7.5,38,2,3.0,2.0,8,3,11.0,5.0,3,6.0,2.0,6,3.0,12.0,5.0,0.41666666700000005,0,38,California,0,31,0,3.0,1,Marketing Manager,0.0,0.0,0.0,0.0,0.0,0.0
32,Teresa Cooper,1.93,11.29,0.17,2,3,4,66,9,0.33,1.17,7,0.5,3.09,36,6,3.0,0.0,6,1,9.0,1.0,3,6.0,3.0,6,3.0,12.0,6.0,0.5,0,42,Georgia,0,32,0,3.0,0,Flight Attendant,0.0,0.0,0.0,0.0,0.0,0.0
33,Kim Powers,0.93,9.29,0.1,1,5,4,61,8,0.62,2.19,7,0.72,3.11,33,3,2.0,0.0,5,0,7.0,0.0,3,6.0,3.0,6,3.0,12.0,6.0,0.5,0,29,Pennsylvania,0,33,0,3.0,0,Freelance Marketer,0.0,0.0,0.0,0.0,0.0,0.0
34,Frank Garrison,1.43,7.29,0.2,0,3,9,55,7,0.41,0.92,7,0.6,2.35,30,4,1.0,0.0,4,0,5.0,0.0,3,6.0,4.0,6,3.0,12.0,7.0,0.583333333,0,43,New York,0,34,0,3.0,1,Telephone Technician,0.0,0.0,0.0,0.0,0.0,0.0
35,Brandon Quinton,1.43,6.29,0.23,1,4,6,48,6,0.65,1.87,7,0.87,3.29,27,2,1.0,0.0,3,0,4.0,0.0,3,6.0,4.0,6,3.0,12.0,7.0,0.583333333,0,25,Texas,0,35,0,3.0,1,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
36,Kelly Goldsmith,0.87,4.81,0.18,1,4,5,40,5,0.78,2.49,7,0.96,3.36,24,1,1.0,0.0,2,0,3.0,0.0,3,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,22,California,0,36,0,3.0,0,Behavioral Research Analyst,0.0,0.0,0.0,0.0,0.0,0.0
37,Clarence Black,0.87,2.81,0.31,0,3,12,31,4,0.65,1.31,7,0.96,2.18,21,1,0.0,0.0,1,0,1.0,0.0,3,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,24,Michigan,0,37,0,3.0,1,Basketball Coach,0.0,0.0,0.0,0.0,0.0,0.0
38,Lindsey Richter,0.93,1.79,0.52,0,2,7,21,3,0.56,1.7,7,1.07,2.62,18,1,0.0,0.0,0,0,0.0,0.0,3,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,26,Oregon,0,38,0,3.0,0,Advertising Executive,0.0,0.0,0.0,0.0,0.0,0.0
39,Silas Gaither,0.73,1.39,0.52,0,2,8,21,3,0.54,1.56,7,1.06,2.28,15,1,0.0,0.0,0,0,0.0,0.0,3,4.0,3.0,5,2.0,9.0,5.0,0.5555555560000001,0,23,Tennessee,0,39,0,3.0,1,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
40,Linda Spencer,0.25,1.06,0.24,2,0,4,15,2,-0.13,0.0,7,0.1,0.25,12,2,0.0,0.0,0,0,0.0,0.0,3,3.0,0.0,4,2.0,7.0,2.0,0.28571428600000004,0,44,Massachusetts,0,40,0,3.0,0,Career Counselor,0.0,0.0,0.0,0.0,0.0,0.0
41,Carl Bilancione,0.39,0.73,0.54,1,0,4,8,1,-0.5,0.0,7,0.04,0.39,9,1,0.0,0.0,0,0,0.0,0.0,3,2.0,1.0,3,2.0,5.0,3.0,0.6,0,46,Florida,0,41,0,3.0,1,Dentist,0.0,0.0,0.0,0.0,0.0,0.0
42,Jessie Camacho,0.0,0.41,0.0,0,1,5,15,2,0.33,1.56,7,0.33,1.56,6,1,0.0,0.0,0,0,0.0,0.0,3,1.0,0.0,2,0.0,3.0,0.0,0.0,0,26,Florida,0,42,0,3.0,0,Deputy Sheriff,0.0,0.0,0.0,0.0,0.0,0.0
43,Diane Ogden,0.0,0.13,0.0,0,0,6,8,1,-0.75,0.0,7,-0.75,0.0,3,1,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,1,0.0,1.0,0.0,0.0,0,42,Nebraska,0,43,0,3.0,0,U.S. Mail Carrier,0.0,0.0,0.0,0.0,0.0,0.0
44,Vecepia Towery,2.45,15.35,0.16,2,9,2,81,12,0.75,3.5,7,0.91,5.960000000000001,39,3,4.0,0.0,8,2,12.0,2.0,4,4.0,0.0,6,2.0,10.0,2.0,0.2,0,36,Oregon,1,44,0,4.0,0,Office Manager,0.0,0.0,0.0,0.0,0.0,0.0
45,Neleh Dennis,2.34,15.33,0.15,1,9,4,61,10,0.89,3.15,7,1.04,5.48,39,1,4.0,0.0,8,1,12.0,1.0,4,4.0,3.0,6,4.0,10.0,7.0,0.7,0,21,Utah,0,45,0,4.0,0,Student,0.0,0.0,0.0,0.0,0.0,0.0
46,Kathy Vavrick-O'Brien,5.51,15.33,0.36,0,7,5,61,10,0.69,2.18,7,1.05,7.69,38,3,4.0,2.0,8,2,12.0,4.0,4,4.0,4.0,6,4.0,10.0,8.0,0.8,0,46,Vermont,0,46,0,4.0,0,Real Estate Agent,0.0,0.0,0.0,0.0,0.0,0.0
47,Tammy Leitner,3.01,9.33,0.32,3,3,5,42,5,0.58,1.87,7,0.9,4.88,30,2,2.0,0.0,4,2,6.0,2.0,4,4.0,2.0,6,4.0,10.0,6.0,0.6,0,29,Arizona,0,47,0,4.0,0,Crime Reporter,0.0,0.0,0.0,0.0,0.0,0.0
48,Sean Rector,1.75,13.35,0.13,3,7,7,74,10,0.69,1.78,7,0.82,3.53,36,3,4.0,1.0,6,0,10.0,1.0,4,4.0,0.0,6,1.0,10.0,1.0,0.1,0,30,New York,0,48,0,4.0,1,Teacher,0.0,0.0,0.0,0.0,0.0,0.0
49,Robert DeCanio,1.62,11.33,0.14,4,3,6,48,6,0.48,1.4,7,0.62,3.02,33,3,3.0,0.0,5,1,8.0,1.0,4,4.0,1.0,6,3.0,10.0,4.0,0.4,0,38,New York,0,49,0,4.0,1,Limousine Driver,0.0,0.0,0.0,0.0,0.0,0.0
50,Gina Crews,0.75,2.85,0.26,1,2,3,30,5,0.38,1.6,7,0.64,2.35,18,3,0.0,0.0,0,0,0.0,0.0,4,4.0,2.0,6,1.0,10.0,3.0,0.3,0,28,Florida,0,50,0,4.0,0,Nature Guide,0.0,0.0,0.0,0.0,0.0,0.0
51,John Carroll,0.56,5.83,0.1,4,2,8,27,3,0.57,1.56,7,0.66,2.12,24,1,1.0,0.0,2,0,3.0,0.0,4,4.0,2.0,6,2.0,10.0,4.0,0.4,0,36,Nebraska,0,51,0,4.0,1,Registered Nurse,0.0,0.0,0.0,0.0,0.0,0.0
52,Patricia Jackson,0.0,1.29,0.0,0,1,5,15,2,0.33,1.56,7,0.33,1.56,6,1,0.0,0.0,0,0,0.0,0.0,4,1.0,0.0,2,0.0,3.0,0.0,0.0,0,49,South Carolina,0,52,0,4.0,0,Truck Assembler,0.0,0.0,0.0,0.0,0.0,0.0
53,Sarah Jones,0.0,1.85,0.0,0,3,11,26,4,0.64,1.4,7,0.64,1.4,12,1,0.0,0.0,0,0,0.0,0.0,4,2.0,0.0,4,0.0,6.0,0.0,0.0,0,24,California,0,53,0,4.0,0,Account Manager,0.0,0.0,0.0,0.0,0.0,0.0
54,Hunter Ellis,0.0,1.65,0.0,0,1,4,21,3,0.27,1.17,7,0.27,1.17,9,2,0.0,0.0,0,0,0.0,0.0,4,2.0,0.0,3,0.0,5.0,0.0,0.0,0,33,California,0,54,0,4.0,1,Former Navy Fighter Pilot,0.0,0.0,0.0,0.0,0.0,0.0
55,Gabriel Cade,0.96,2.33,0.41,1,0,7,8,1,-0.88,0.0,7,-0.46,0.96,15,1,0.0,0.0,0,0,0.0,0.0,4,3.0,2.0,5,3.0,8.0,5.0,0.625,0,23,North Carolina,0,55,0,4.0,1,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
56,Peter Harkey,0.0,1.0,0.0,0,0,5,8,1,-0.63,0.0,7,-0.63,0.0,3,1,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,1,0.0,1.0,0.0,0.0,0,44,Massachusetts,0,56,0,4.0,1,Bowling Alley Owner,0.0,0.0,0.0,0.0,0.0,0.0
57,Brian Heidik,6.18,12.13,0.51,0,9,0,54,9,1.0,7.0,7,1.5100000000000002,13.19,39,0,4.0,2.0,6,3,10.0,5.0,5,4.0,1.0,8,5.0,12.0,6.0,0.5,0,34,California,1,57,0,5.0,1,Used Car Salesman,0.0,0.0,0.0,0.0,0.0,0.0
58,Clay Jordan,2.18,12.13,0.18,0,8,3,54,9,0.88,3.56,7,1.06,5.73,39,1,4.0,0.0,6,1,10.0,1.0,5,4.0,1.0,8,5.0,12.0,6.0,0.5,0,46,Louisiana,0,58,0,5.0,1,Restaurant Owner,0.0,0.0,0.0,0.0,0.0,0.0
59,Helen Glover,2.93,11.13,0.26,1,6,5,51,8,0.74,2.33,7,1.0,5.27,37,2,4.0,1.0,5,1,9.0,2.0,5,4.0,1.0,8,4.0,12.0,5.0,0.41666666700000005,0,47,Rhode Island,0,59,0,5.0,0,Navy Swim Instructor,0.0,0.0,0.0,0.0,0.0,0.0
60,Erin Collins,0.94,2.13,0.44,2,4,3,30,5,0.78,3.2,7,1.22,4.14,24,1,0.0,0.0,0,0,0.0,0.0,5,4.0,3.0,8,3.0,12.0,6.0,0.5,0,26,Texas,0,60,0,5.0,0,Real Estate Agent,0.0,0.0,0.0,0.0,0.0,0.0
61,Jan Gentry,1.18,12.13,0.1,0,7,5,54,9,0.77,2.42,7,0.87,3.6,38,2,4.0,0.0,6,0,10.0,0.0,5,4.0,1.0,8,5.0,12.0,6.0,0.5,0,53,Florida,0,61,0,5.0,0,Teacher,0.0,0.0,0.0,0.0,0.0,0.0
62,Ken Stafford,0.94,4.13,0.23,2,5,6,38,6,0.81,2.33,7,1.04,3.28,27,1,1.0,0.0,1,0,2.0,0.0,5,4.0,3.0,8,3.0,12.0,6.0,0.5,0,30,New York,0,62,0,5.0,1,NYC Police Officer,0.0,0.0,0.0,0.0,0.0,0.0
63,Penny Ramsey,0.94,6.13,0.15,1,5,5,45,7,0.7,2.22,7,0.85,3.17,30,2,2.0,0.0,2,0,4.0,0.0,5,4.0,3.0,8,3.0,12.0,6.0,0.5,0,27,Texas,0,63,0,5.0,0,Pharmaceutical Sales,0.0,0.0,0.0,0.0,0.0,0.0
64,Jake Billingsley,0.94,8.13,0.12,1,5,7,51,8,0.61,1.59,7,0.72,2.53,33,3,3.0,0.0,3,0,6.0,0.0,5,4.0,3.0,8,3.0,12.0,6.0,0.5,0,60,Texas,0,64,0,5.0,1,Land Broker,0.0,0.0,0.0,0.0,0.0,0.0
65,Tanya Vance,0.0,0.41,0.0,0,1,5,15,2,0.33,1.56,7,0.33,1.56,6,1,0.0,0.0,0,0,0.0,0.0,5,1.0,0.0,2,0.0,3.0,0.0,0.0,0,27,Tennessee,0,65,0,5.0,0,Social Worker,0.0,0.0,0.0,0.0,0.0,0.0
66,Ghandia Johnson,0.33,1.08,0.31,0,1,5,21,3,0.25,1.04,7,0.56,1.37,12,2,0.0,0.0,0,0,0.0,0.0,5,3.0,1.0,4,1.0,7.0,2.0,0.28571428600000004,0,33,Colorado,0,66,0,5.0,0,Legal Secretary,0.0,0.0,0.0,0.0,0.0,0.0
67,Robb Zbacnik,0.94,1.68,0.56,1,0,5,21,3,-0.08,0.0,7,0.48,0.94,18,3,0.0,0.0,0,0,0.0,0.0,5,4.0,3.0,6,3.0,10.0,6.0,0.6,0,23,Arizona,0,67,0,5.0,1,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
68,Stephanie Dill,0.43,1.28,0.34,2,0,5,15,2,-0.17,0.0,7,0.17,0.43,15,2,0.0,0.0,0,0,0.0,0.0,5,3.0,1.0,5,2.0,8.0,3.0,0.375,0,29,Arkansas,0,68,0,5.0,0,Firefighter,0.0,0.0,0.0,0.0,0.0,0.0
69,Jed Hildebrand,0.41,0.74,0.55,0,0,5,8,1,-0.63,0.0,7,-0.07,0.41,9,1,0.0,0.0,0,0,0.0,0.0,5,2.0,1.0,3,2.0,5.0,3.0,0.6,0,25,Texas,0,69,0,5.0,1,Dental Student,0.0,0.0,0.0,0.0,0.0,0.0
70,John Raymond,0.0,0.13,0.0,0,0,6,8,1,-0.75,0.0,7,-0.75,0.0,3,1,0.0,0.0,0,0,0.0,0.0,5,0.0,0.0,1,0.0,1.0,0.0,0.0,0,40,Louisiana,0,70,0,5.0,1,Pastor,0.0,0.0,0.0,0.0,0.0,0.0
71,Jenna Morasca,4.72,12.93,0.37,2,9,3,73,11,0.81,3.27,7,1.1800000000000002,7.98,39,2,3.0,0.0,8,4,11.0,4.0,6,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,21,Pennsylvania,1,71,0,6.0,0,Swimsuit Model,0.0,0.0,0.0,0.0,0.0,0.0
72,Rob Cesternino,1.64,12.93,0.13,0,10,4,73,11,0.9,3.18,7,1.03,4.82,38,1,3.0,0.0,8,1,11.0,1.0,6,5.0,1.0,6,3.0,11.0,4.0,0.363636364,0,24,New York,0,72,0,6.0,1,Computer Projects Coordinator,0.0,0.0,0.0,0.0,0.0,0.0
73,Deena Bennett,2.05,6.93,0.3,1,5,6,48,6,0.81,2.33,7,1.11,4.39,27,1,2.0,0.0,3,1,5.0,1.0,6,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,35,California,0,73,0,6.0,0,Deputy District Attorney,0.0,0.0,0.0,0.0,0.0,0.0
74,Heidi Strobel,0.95,10.93,0.09,0,7,3,66,9,0.77,3.11,7,0.86,4.06,36,2,3.0,0.0,6,0,9.0,0.0,6,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,24,Missouri,0,74,0,6.0,0,Gym Teacher,0.0,0.0,0.0,0.0,0.0,0.0
75,Alex Bell,1.98,7.93,0.25,0,5,6,55,7,0.7,2.0,7,0.95,3.98,30,2,2.0,1.0,4,0,6.0,1.0,6,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,32,California,0,75,0,6.0,1,Triathlon Coach,0.0,0.0,0.0,0.0,0.0,0.0
76,Dave Johnson,2.21,4.93,0.45,0,2,8,40,5,0.36,0.93,7,0.81,3.14,24,3,1.0,1.0,2,0,3.0,1.0,6,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,23,California,0,76,0,6.0,1,Rocket Scientist,0.0,0.0,0.0,0.0,0.0,0.0
77,Butch Lockley,0.88,11.93,0.07,0,7,5,70,10,0.69,2.18,7,0.77,3.05,37,3,3.0,0.0,7,0,10.0,0.0,6,5.0,2.0,6,3.0,11.0,5.0,0.454545455,0,50,Illinois,0,77,0,6.0,1,Principal,0.0,0.0,0.0,0.0,0.0,0.0
78,Roger Sexton,0.88,2.6,0.34,0,3,11,31,4,0.66,1.4,7,1.0,2.28,21,1,0.0,0.0,1,0,1.0,0.0,6,4.0,2.0,6,3.0,10.0,5.0,0.5,0,56,California,0,78,0,6.0,1,Construction Company V.P.,0.0,0.0,0.0,0.0,0.0,0.0
79,Christy Smith,0.81,8.93,0.09,1,4,9,61,8,0.48,1.08,7,0.57,1.89,33,4,2.0,0.0,5,0,7.0,0.0,6,5.0,3.0,6,3.0,11.0,6.0,0.545454546,0,24,Colorado,0,79,0,6.0,0,Children's Adventure Guide,0.0,0.0,0.0,0.0,0.0,0.0
80,Shawna Mitchell,0.72,1.6,0.45,2,1,6,21,3,0.24,0.93,7,0.69,1.65,18,2,0.0,0.0,0,0,0.0,0.0,6,4.0,2.0,6,3.0,10.0,5.0,0.5,0,23,California,0,80,0,6.0,0,Retail Saleswoman,0.0,0.0,0.0,0.0,0.0,0.0
81,Jeanne Hebert,0.55,1.2,0.46,0,1,5,21,3,0.25,1.04,7,0.72,1.59,15,2,0.0,0.0,0,0,0.0,0.0,6,3.0,2.0,5,2.0,8.0,4.0,0.5,0,40,Massachusetts,0,81,0,6.0,0,Marketing Director,0.0,0.0,0.0,0.0,0.0,0.0
82,JoAnna Ward,0.55,1.03,0.54,0,0,4,15,2,-0.13,0.0,7,0.4,0.55,12,2,0.0,0.0,0,0,0.0,0.0,6,3.0,2.0,4,2.0,7.0,4.0,0.571428571,0,31,South Carolina,0,82,0,6.0,0,Guidance Counselor,0.0,0.0,0.0,0.0,0.0,0.0
83,Janet Koth,0.27,0.41,0.65,0,0,5,8,1,-0.63,0.0,7,0.03,0.27,6,1,0.0,0.0,0,0,0.0,0.0,6,1.0,1.0,2,1.0,3.0,2.0,0.666666667,0,46,Missouri,0,83,0,6.0,0,Homemaker,0.0,0.0,0.0,0.0,0.0,0.0
84,Daniel Lue,0.14,0.7,0.21,0,0,7,15,2,-0.23,0.0,7,-0.03,0.14,9,2,0.0,0.0,0,0,0.0,0.0,6,2.0,0.0,3,1.0,5.0,1.0,0.2,0,26,Texas,0,84,0,6.0,1,Tax Accountant,0.0,0.0,0.0,0.0,0.0,0.0
85,Ryan Aiken,0.0,0.13,0.0,0,0,4,8,1,-0.5,0.0,7,-0.5,0.0,3,1,0.0,0.0,0,0,0.0,0.0,6,0.0,0.0,1,0.0,1.0,0.0,0.0,0,23,Maryland,0,85,0,6.0,1,Model,0.0,0.0,0.0,0.0,0.0,0.0
86,Sandra Diaz-Twine,1.0,13.89,0.07,2,10,0,77,12,0.83,5.83,7,0.9,6.82,39,2,3.0,0.0,8,0,11.0,0.0,7,7.0,3.0,7,3.0,14.0,6.0,0.428571429,0,29,Washington,1,86,0,7.0,0,Office Assistant,0.0,0.0,0.0,0.0,0.0,0.0
87,Burton Roberts,4.64,11.34,0.41,2,5,10,52,7,0.69,1.43,7,1.1,6.07,30,2,3.0,1.0,6,2,9.0,3.0,7,5.0,4.0,6,4.0,11.0,8.0,0.727272727,0,31,California,0,87,0,7.0,1,Marketing Executive,0.0,0.0,0.0,0.0,0.0,0.0
88,Darrah Johnson,4.1,12.94,0.32,0,7,6,70,10,0.69,1.96,7,1.01,6.06,37,3,3.0,0.0,7,3,10.0,3.0,7,7.0,2.0,7,3.0,14.0,5.0,0.35714285700000004,0,22,Mississippi,0,88,0,7.0,0,Mortician,0.0,0.0,0.0,0.0,0.0,0.0
89,Rupert Boneham,3.51,6.75,0.52,1,5,7,45,6,0.81,2.12,7,1.33,5.63,27,1,1.0,1.0,3,1,4.0,2.0,7,6.0,5.0,8,4.0,14.0,9.0,0.642857143,0,39,Indiana,0,89,0,7.0,1,Troubled Teens Mentor,0.0,0.0,0.0,0.0,0.0,0.0
90,Lillian Morris,2.0,12.74,0.16,0,9,10,73,11,0.81,1.64,7,0.9700000000000001,3.6500000000000004,30,2,3.0,0.0,8,1,11.0,1.0,7,4.0,2.0,4,1.0,8.0,3.0,0.375,0,51,Ohio,0,90,0,7.0,0,Scout Troop Leader,0.0,0.0,0.0,0.0,0.0,0.0
91,Trish Dunn,1.14,2.02,0.57,2,2,4,20,3,0.6,2.33,7,1.17,3.48,19,1,0.0,0.0,0,0,0.0,0.0,7,5.0,4.0,7,3.0,12.0,7.0,0.583333333,0,42,Maryland,0,91,0,7.0,0,Sales Executive,0.0,0.0,0.0,0.0,0.0,0.0
92,Shawn Cohen,0.94,2.05,0.46,1,3,5,25,4,0.7,2.33,7,1.16,3.28,19,1,0.0,0.0,0,0,0.0,0.0,7,5.0,3.0,7,3.0,12.0,6.0,0.5,0,28,New York,0,92,0,7.0,1,Advertising Sales,0.0,0.0,0.0,0.0,0.0,0.0
93,Tijuana Bradley,0.97,8.81,0.11,0,5,5,55,7,0.7,2.22,7,0.81,3.19,30,2,2.0,0.0,4,0,6.0,0.0,7,6.0,1.0,8,4.0,14.0,5.0,0.35714285700000004,0,26,Missouri,0,93,0,7.0,0,Pharmaceutical Sales,0.0,0.0,0.0,0.0,0.0,0.0
94,Christa Hastie,1.0,10.09,0.1,2,7,7,65,9,0.77,1.98,7,0.87,2.98,33,2,2.0,0.0,5,0,7.0,0.0,7,7.0,3.0,8,3.0,15.0,6.0,0.4,0,24,California,0,94,0,7.0,0,Computer Programmer,0.0,0.0,0.0,0.0,0.0,0.0
95,Andrew Savage,0.77,3.11,0.25,0,3,6,31,4,0.7,2.1,7,0.95,2.87,21,1,0.0,0.0,1,0,1.0,0.0,7,5.0,1.0,7,3.0,12.0,4.0,0.333333333,0,39,Illinois,0,95,0,7.0,1,Attorney,0.0,0.0,0.0,0.0,0.0,0.0
96,Ryan Opray,0.97,5.31,0.18,0,3,8,40,5,0.56,1.4,7,0.74,2.37,24,2,1.0,0.0,2,0,3.0,0.0,7,5.0,1.0,8,4.0,13.0,5.0,0.384615385,0,30,California,0,96,0,7.0,1,Electrician,0.0,0.0,0.0,0.0,0.0,0.0
97,Ryan Shoulders,0.17,0.58,0.29,0,1,6,15,2,0.3,1.4,7,0.59,1.57,7,1,0.0,0.0,0,0,0.0,0.0,7,1.0,0.0,3,1.0,4.0,1.0,0.25,0,23,Tennessee,0,97,0,7.0,1,Produce Clerk,0.0,0.0,0.0,0.0,0.0,0.0
98,Michelle Tesauro,0.74,1.62,0.46,2,0,6,14,2,-0.21,0.0,7,0.24,0.74,16,2,0.0,0.0,0,0,0.0,0.0,7,4.0,1.0,6,4.0,10.0,5.0,0.5,0,22,New Jersey,0,98,0,7.0,0,Student,0.0,0.0,0.0,0.0,0.0,0.0
99,Nicole Delma,0.17,0.29,0.57,0,0,7,8,1,-0.88,0.0,7,-0.3,0.17,4,1,0.0,0.0,0,0,0.0,0.0,7,0.0,0.0,2,1.0,2.0,1.0,0.5,0,24,California,0,99,0,7.0,0,Massage Therapist,0.0,0.0,0.0,0.0,0.0,0.0
100,Chris Daugherty,4.82,15.24,0.32,1,10,3,82,12,0.83,3.33,7,1.1500000000000001,7.640000000000001,39,4,2.0,0.0,9,3,13.0,3.0,9,9.0,5.0,6,3.0,15.0,8.0,0.5329999999999999,0,33,Ohio,1,100,0,9.0,1,Highway Construction Worker,0.0,0.0,0.0,0.0,0.0,0.0
101,Twila Tanner,2.34,14.24,0.16,0,11,6,75,11,0.99,2.8,7,1.15,5.65,39,4,0.0,0.0,8,1,12.0,1.0,9,12.0,5.0,6,4.0,18.0,9.0,0.5,0,41,Missouri,0,101,0,9.0,0,Highway Repair Worker,0.0,0.0,0.0,0.0,0.0,0.0
102,Eliza Orlins,4.17,13.24,0.32,0,8,9,78,11,0.72,1.57,7,1.03,5.73,37,4,3.0,2.0,7,1,11.0,3.0,9,10.0,4.0,6,3.0,16.0,7.0,0.43799999999999994,0,21,New York,0,102,0,9.0,0,"Pre-Law Student;
Law School Student",0.0,0.0,0.0,0.0,0.0,0.0
103,Julie Berry,2.34,12.24,0.19,0,4,4,68,9,0.44,1.56,7,0.63,4.16,36,4,5.0,1.0,6,0,10.0,1.0,9,10.0,5.0,6,4.0,16.0,9.0,0.563,0,23,Maine,0,103,0,9.0,0,Youth Mentor,0.0,0.0,0.0,0.0,0.0,0.0
104,Ami Cusack,3.67,10.24,0.36,0,7,8,70,9,0.77,1.81,7,1.12,5.71,33,3,2.0,0.0,5,2,8.0,2.0,9,9.0,4.0,6,3.0,15.0,7.0,0.467,0,31,Colorado,0,104,0,9.0,0,"Coffee Barista;
Nanny",0.0,0.0,0.0,0.0,0.0,0.0
105,Leann Slaby,1.92,8.24,0.23,0,7,8,64,8,0.86,2.04,7,1.09,3.38,30,2,1.0,1.0,4,0,6.0,1.0,9,8.0,3.0,6,3.0,14.0,6.0,0.429,0,35,Wisconsin,0,105,0,9.0,0,Equity Research Assistant,0.0,0.0,0.0,0.0,0.0,0.0
106,Rory Freeman,0.65,3.99,0.16,0,5,14,47,6,0.78,1.3,7,0.95,1.43,21,0,1.0,0.0,2,0,2.0,0.0,9,7.0,2.0,6,2.0,13.0,4.0,0.308,0,35,Iowa,0,106,0,9.0,1,Housing Case Manager,0.0,0.0,0.0,0.0,0.0,0.0
107,John Kenney,1.87,2.79,0.67,0,1,5,30,4,0.21,0.78,7,0.88,3.62,18,0,3.0,0.0,1,1,1.0,1.0,9,6.0,3.0,6,3.0,12.0,6.0,0.5,0,22,California,0,107,0,9.0,1,Mechanical Bull Operator,0.0,0.0,0.0,0.0,0.0,0.0
108,Lisa Keiffer,0.52,1.39,0.38,0,2,4,30,4,0.47,1.75,7,0.84,2.62,15,0,2.0,0.0,0,0,0.0,0.0,9,5.0,2.0,5,2.0,10.0,4.0,0.4,0,44,Louisiana,0,108,0,9.0,0,Real Estate Agent,0.0,0.0,0.0,0.0,0.0,0.0
109,Brady Finta,0.25,1.77,0.14,0,0,6,24,3,-0.08,0.0,7,0.06,0.25,10,0,3.0,0.0,1,0,1.0,0.0,9,3.0,1.0,3,1.0,6.0,2.0,0.33299999999999996,0,33,California,0,109,0,9.0,1,FBI Agent,0.0,0.0,0.0,0.0,0.0,0.0
110,Mia Galeotalanza,0.24,0.49,0.49,0,0,5,17,2,-0.15,0.0,7,0.34,0.24,7,0,2.0,0.0,0,0,0.0,0.0,9,2.0,1.0,2,1.0,4.0,2.0,0.5,0,29,New Jersey,0,110,0,9.0,0,Bookkeeper,0.0,0.0,0.0,0.0,0.0,0.0
111,John Palyok,0.25,1.49,0.17,0,0,5,17,2,-0.15,0.0,7,0.02,0.25,7,0,2.0,0.0,1,0,1.0,0.0,9,2.0,1.0,2,1.0,4.0,2.0,0.5,0,31,California,0,111,0,9.0,1,Sales Manager,0.0,0.0,0.0,0.0,0.0,0.0
112,Dolly Neely,0.24,0.36,0.65,1,0,5,9,1,-0.56,0.0,7,0.1,0.24,6,0,1.0,0.0,0,0,0.0,0.0,9,1.0,1.0,2,1.0,3.0,2.0,0.667,0,25,Pennsylvania,0,112,0,9.0,0,Sheep Farmer,0.0,0.0,0.0,0.0,0.0,0.0
113,Brook Geraghty,0.0,0.11,0.0,0,0,5,9,1,-0.56,0.0,7,-0.56,0.0,3,0,1.0,0.0,0,0,0.0,0.0,9,0.0,0.0,1,0.0,1.0,0.0,0.0,0,27,Massachusetts,0,113,0,9.0,1,Document Manager,0.0,0.0,0.0,0.0,0.0,0.0
114,Wanda Shirk,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,7,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0,0,0.0,0.0,0.0,0.0,0,55,Pennsylvania,0,114,0,10.0,0,English Teacher,0.0,0.0,0.0,0.0,0.0,0.0
115,Jonathan Libby,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,7,0.0,0.0,2,0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0,0,0.0,0.0,0.0,0.0,0,23,Texas,0,115,0,10.0,1,Sales & Marketing Associate,0.0,0.0,0.0,0.0,0.0,0.0
116,Tom Westman,6.61,13.6,0.49,4,6,0,43,7,0.86,6.0,7,1.3400000000000003,12.59,39,1,2.0,0.0,7,5,9.0,5.0,10,8.0,4.0,7,4.0,15.0,8.0,0.533333333,0,40,New York,1,116,0,10.0,1,"NYC Firefighter;
Motivational Speaker",0.0,0.0,0.0,0.0,0.0,0.0
